LGA,Quarter,90th_Percentile,Median,LGA_Code,Decile
Alpine (S),Apr - Jun 2024,N.P.,N.P.,20110,9
Alpine (S),Jul - Sep 2024,N.P.,N.P.,20110,9
Alpine (S),Oct - Dec 2024,N.P.,N.P.,20110,9
Alpine (S),Jan - Mar 2025,N.P.,N.P.,20110,9
Alpine (S),Apr - Jun 2025,N.P.,N.P.,20110,9
Ararat (RC),Apr - Jun 2024,*,*,20260,4
Ararat (RC),Jul - Sep 2024,N.P.,N.P.,20260,4
Ararat (RC),Oct - Dec 2024,N.P.,N.P.,20260,4
Ararat (RC),Jan - Mar 2025,N.P.,N.P.,20260,4
Ararat (RC),Apr - Jun 2025,N.P.,N.P.,20260,4
Ballarat (C),Apr - Jun 2024,16.32,8.55,20570,6
Ballarat (C),Jul - Sep 2024,14.73,8.84,20570,6
Ballarat (C),Oct - Dec 2024,17.16,10.25,20570,6
Ballarat (C),Jan - Mar 2025,14.42,8.76,20570,6
Ballarat (C),Apr - Jun 2025,15.23,8.85,20570,6
Banyule (C),Apr - Jun 2024,16.16,7.75,20660,10
Banyule (C),Jul - Sep 2024,11,8.05,20660,10
Banyule (C),Oct - Dec 2024,13,8.38,20660,10
Banyule (C),Jan - Mar 2025,15.99,8.33,20660,10
Banyule (C),Apr - Jun 2025,11.87,7.42,20660,10
Bass Coast (S),Apr - Jun 2024,23.32,8.69,20740,7
Bass Coast (S),Jul - Sep 2024,16.91,8.98,20740,7
Bass Coast (S),Oct - Dec 2024,16.22,9.38,20740,7
Bass Coast (S),Jan - Mar 2025,29.47,10.15,20740,7
Bass Coast (S),Apr - Jun 2025,20.62,12.75,20740,7
Baw Baw (S),Apr - Jun 2024,20.27,10.2,20830,7
Baw Baw (S),Jul - Sep 2024,15.16,10.53,20830,7
Baw Baw (S),Oct - Dec 2024,21.15,9.13,20830,7
Baw Baw (S),Jan - Mar 2025,26.52,12.33,20830,7
Baw Baw (S),Apr - Jun 2025,16.08,9.22,20830,7
Bayside (C),Apr - Jun 2024,11.9,7.23,20910,10
Bayside (C),Jul - Sep 2024,14.29,8.77,20910,10
Bayside (C),Oct - Dec 2024,12.74,9.61,20910,10
Bayside (C),Jan - Mar 2025,26.01,8.95,20910,10
Bayside (C),Apr - Jun 2025,13.56,8.45,20910,10
Benalla (RC),Apr - Jun 2024,17.8,10.79,21010,5
Benalla (RC),Jul - Sep 2024,N.P.,N.P.,21010,5
Benalla (RC),Oct - Dec 2024,N.P.,N.P.,21010,5
Benalla (RC),Jan - Mar 2025,14.21,9.58,21010,5
Benalla (RC),Apr - Jun 2025,12.51,7.78,21010,5
Boroondara (C),Apr - Jun 2024,14.63,9.54,21110,10
Boroondara (C),Jul - Sep 2024,12.32,8.47,21110,10
Boroondara (C),Oct - Dec 2024,13.38,8.47,21110,10
Boroondara (C),Jan - Mar 2025,14.56,8.62,21110,10
Boroondara (C),Apr - Jun 2025,11.42,8.13,21110,10
Brimbank (C),Apr - Jun 2024,15.51,8.68,21180,2
Brimbank (C),Jul - Sep 2024,13.93,8.48,21180,2
Brimbank (C),Oct - Dec 2024,14.79,8.12,21180,2
Brimbank (C),Jan - Mar 2025,14.18,9.13,21180,2
Brimbank (C),Apr - Jun 2025,13.46,8.05,21180,2
Buloke (S),Apr - Jun 2024,N.P.,N.P.,21270,5
Buloke (S),Jul - Sep 2024,N.P.,N.P.,21270,5
Buloke (S),Oct - Dec 2024,N.P.,N.P.,21270,5
Buloke (S),Jan - Mar 2025,N.P.,N.P.,21270,5
Buloke (S),Apr - Jun 2025,N.P.,N.P.,21270,5
Campaspe (S),Apr - Jun 2024,26.38,15.77,21370,4
Campaspe (S),Jul - Sep 2024,26.47,12.73,21370,4
Campaspe (S),Oct - Dec 2024,14.44,9.37,21370,4
Campaspe (S),Jan - Mar 2025,35.3,9.82,21370,4
Campaspe (S),Apr - Jun 2025,26.53,13,21370,4
Cardinia (S),Apr - Jun 2024,27.11,11.02,21450,8
Cardinia (S),Jul - Sep 2024,25.71,10.83,21450,8
Cardinia (S),Oct - Dec 2024,28.88,12.95,21450,8
Cardinia (S),Jan - Mar 2025,17.24,9.29,21450,8
Cardinia (S),Apr - Jun 2025,21.91,10.73,21450,8
Casey (C),Apr - Jun 2024,18.7,10.18,21610,7
Casey (C),Jul - Sep 2024,16.29,9.17,21610,7
Casey (C),Oct - Dec 2024,19.02,9.81,21610,7
Casey (C),Jan - Mar 2025,15.56,9.12,21610,7
Casey (C),Apr - Jun 2025,17.52,9.3,21610,7
Central Goldfields (S),Apr - Jun 2024,23.97,12.3,21670,2
Central Goldfields (S),Jul - Sep 2024,25.57,14.6,21670,2
Central Goldfields (S),Oct - Dec 2024,39.62,11.96,21670,2
Central Goldfields (S),Jan - Mar 2025,N.P.,N.P.,21670,2
Central Goldfields (S),Apr - Jun 2025,N.P.,N.P.,21670,2
Colac-Otway (S),Apr - Jun 2024,23.23,12.73,21750,5
Colac-Otway (S),Jul - Sep 2024,27.72,11.58,21750,5
Colac-Otway (S),Oct - Dec 2024,21.03,11.83,21750,5
Colac-Otway (S),Jan - Mar 2025,N.P.,N.P.,21750,5
Colac-Otway (S),Apr - Jun 2025,24.03,10.77,21750,5
Corangamite (S),Apr - Jun 2024,N.P.,N.P.,21830,6
Corangamite (S),Jul - Sep 2024,N.P.,N.P.,21830,6
Corangamite (S),Oct - Dec 2024,N.P.,N.P.,21830,6
