LGA,Attribute,90th_Percentile,Median,LGA_Code,Decile
Alpine,Apr - Jun 2024,40.85,17.84,20110,9
Alpine,Jul - Sep 2024,41.72,17.78,20110,9
Alpine,Oct - Dec 2024,48.33,18.35,20110,9
Alpine,Jan - Mar 2025,44.53,17.18,20110,9
Alpine,Apr - Jun 2025,45.54,16.39,20110,9
Ararat,Apr - Jun 2024,35.4,11.4,20260,4
Ararat,Jul - Sep 2024,38.05,10.48,20260,4
Ararat,Oct - Dec 2024,34.7,9.43,20260,4
Ararat,Jan - Mar 2025,32.15,9.77,20260,4
Ararat,Apr - Jun 2025,37.65,9.47,20260,4
Ballarat,Apr - Jun 2024,21.7,11.12,20570,6
Ballarat,Jul - Sep 2024,23.17,11.42,20570,6
Ballarat,Oct - Dec 2024,21.88,11.23,20570,6
Ballarat,Jan - Mar 2025,21.28,10.8,20570,6
Ballarat,Apr - Jun 2025,22.31,11.35,20570,6
Banyule,Apr - Jun 2024,25.53,11.86,20660,10
Banyule,Jul - Sep 2024,21.48,11.42,20660,10
Banyule,Oct - Dec 2024,24.22,11.8,20660,10
Banyule,Jan - Mar 2025,22.56,11.22,20660,10
Banyule,Apr - Jun 2025,22.6,11.42,20660,10
Bass Coast,Apr - Jun 2024,30.97,13.05,20740,7
Bass Coast,Jul - Sep 2024,31.12,13.48,20740,7
Bass Coast,Oct - Dec 2024,32.83,14.57,20740,7
Bass Coast,Jan - Mar 2025,33.58,14.33,20740,7
Bass Coast,Apr - Jun 2025,31.72,13.28,20740,7
Baw Baw,Apr - Jun 2024,27.86,12.2,20830,7
Baw Baw,Jul - Sep 2024,31.48,13.17,20830,7
Baw Baw,Oct - Dec 2024,29.14,12.83,20830,7
Baw Baw,Jan - Mar 2025,29.67,12.78,20830,7
Baw Baw,Apr - Jun 2025,31.14,13.61,20830,7
Bayside,Apr - Jun 2024,24.81,12.73,20910,10
Bayside,Jul - Sep 2024,25.31,12.3,20910,10
Bayside,Oct - Dec 2024,27.82,12.95,20910,10
Bayside,Jan - Mar 2025,25.85,12.48,20910,10
Bayside,Apr - Jun 2025,27.42,13.23,20910,10
Benalla,Apr - Jun 2024,34.12,12.58,21010,5
Benalla,Jul - Sep 2024,35.36,12.17,21010,5
Benalla,Oct - Dec 2024,37.61,12.7,21010,5
Benalla,Jan - Mar 2025,32.87,11.79,21010,5
Benalla,Apr - Jun 2025,40.32,13.35,21010,5
Boroondara,Apr - Jun 2024,26.53,12.27,21110,10
Boroondara,Jul - Sep 2024,24.11,12.21,21110,10
Boroondara,Oct - Dec 2024,25.21,12.31,21110,10
Boroondara,Jan - Mar 2025,24.68,12.25,21110,10
Boroondara,Apr - Jun 2025,22.67,12.07,21110,10
Brimbank,Apr - Jun 2024,25.22,12.02,21180,2
Brimbank,Jul - Sep 2024,24.56,11.78,21180,2
Brimbank,Oct - Dec 2024,25.52,12.22,21180,2
Brimbank,Jan - Mar 2025,24.28,11.77,21180,2
Brimbank,Apr - Jun 2025,23.97,12.07,21180,2
Buloke,Apr - Jun 2024,55.75,31.23,21270,5
Buloke,Jul - Sep 2024,46.1,25.55,21270,5
Buloke,Oct - Dec 2024,48.56,24.56,21270,5
Buloke,Jan - Mar 2025,44.97,25.68,21270,5
Buloke,Apr - Jun 2025,59.44,30.98,21270,5
Campaspe,Apr - Jun 2024,31.04,11.76,21370,4
Campaspe,Jul - Sep 2024,31.89,11.8,21370,4
Campaspe,Oct - Dec 2024,33.55,12.91,21370,4
Campaspe,Jan - Mar 2025,30.88,11.36,21370,4
Campaspe,Apr - Jun 2025,31.05,13.08,21370,4
Cardinia,Apr - Jun 2024,32.45,15.1,21450,8
Cardinia,Jul - Sep 2024,30.8,13.85,21450,8
Cardinia,Oct - Dec 2024,29.92,13.91,21450,8
Cardinia,Jan - Mar 2025,30.66,14.27,21450,8
Cardinia,Apr - Jun 2025,30.4,13.67,21450,8
Casey,Apr - Jun 2024,26.13,12.97,21610,7
Casey,Jul - Sep 2024,24.76,12.91,21610,7
Casey,Oct - Dec 2024,25.64,13.18,21610,7
Casey,Jan - Mar 2025,25.48,12.89,21610,7
Casey,Apr - Jun 2025,26.02,13.03,21610,7
Central Goldfields,Apr - Jun 2024,38.09,14.52,21670,2
Central Goldfields,Jul - Sep 2024,38.77,11.65,21670,2
Central Goldfields,Oct - Dec 2024,42.27,13.28,21670,2
Central Goldfields,Jan - Mar 2025,38.32,11.48,21670,2
Central Goldfields,Apr - Jun 2025,40.25,12.4,21670,2
Colac-Otway,Apr - Jun 2024,41.01,12.59,21750,5
Colac-Otway,Jul - Sep 2024,33.52,11.2,21750,5
Colac-Otway,Oct - Dec 2024,40.74,11.43,21750,5
Colac-Otway,Jan - Mar 2025,40.51,12.13,21750,5
Colac-Otway,Apr - Jun 2025,40.47,12.65,21750,5
Corangamite,Apr - Jun 2024,35.25,17.75,21830,6
Corangamite,Jul - Sep 2024,39.5,19.8,21830,6
Corangamite,Oct - Dec 2024,37.22,17.1,21830,6
Corangamite,Jan - Mar 2025,40.4,18.92,21830,6
Corangamite,Apr - Jun 2025,38.61,18.42,21830,6
Darebin,Apr - Jun 2024,23.46,11.07,21890,8
Darebin,Jul - Sep 2024,22.87,11.08,21890,8
Darebin,Oct - Dec 2024,24.58,11.27,21890,8
Darebin,Jan - Mar 2025,23.4,11.17,21890,8
Darebin,Apr - Jun 2025,21.41,10.97,21890,8
East Gippsland,Apr - Jun 2024,34.63,13.78,22110,4
East Gippsland,Jul - Sep 2024,37.8,15.6,22110,4
East Gippsland,Oct - Dec 2024,36.31,14.25,22110,4
East Gippsland,Jan - Mar 2025,37.31,14.36,22110,4
East Gippsland,Apr - Jun 2025,35.78,13.79,22110,4
Frankston,Apr - Jun 2024,23.23,11.53,22170,7
Frankston,Jul - Sep 2024,22.05,11.38,22170,7
Frankston,Oct - Dec 2024,22.58,11.65,22170,7
Frankston,Jan - Mar 2025,22.31,11.65,22170,7
Frankston,Apr - Jun 2025,22.22,11.6,22170,7
Gannawarra,Apr - Jun 2024,42.31,18.08,22250,4
Gannawarra,Jul - Sep 2024,38.35,16.02,22250,4
Gannawarra,Oct - Dec 2024,42.93,17.92,22250,4
Gannawarra,Jan - Mar 2025,40.44,18.45,22250,4
Gannawarra,Apr - Jun 2025,41.9,16.65,22250,4
Glen Eira,Apr - Jun 2024,27.55,12.06,22310,10
Glen Eira,Jul - Sep 2024,23.93,11.92,22310,10
Glen Eira,Oct - Dec 2024,25.09,11.88,22310,10
Glen Eira,Jan - Mar 2025,23.98,12.08,22310,10
Glen Eira,Apr - Jun 2025,24.67,12.23,22310,10
Glenelg,Apr - Jun 2024,30.94,10.72,22410,4
Glenelg,Jul - Sep 2024,23.84,10.18,22410,4
Glenelg,Oct - Dec 2024,26.75,10.21,22410,4
Glenelg,Jan - Mar 2025,28.8,10.23,22410,4
Glenelg,Apr - Jun 2025,29.21,9.91,22410,4
Golden Plains,Apr - Jun 2024,33.1,19.25,22490,9
Golden Plains,Jul - Sep 2024,32.78,21.21,22490,9
Golden Plains,Oct - Dec 2024,35.2,20.02,22490,9
Golden Plains,Jan - Mar 2025,30.95,17.38,22490,9
Golden Plains,Apr - Jun 2025,36.01,20.91,22490,9
Greater Bendigo,Apr - Jun 2024,29.15,12.9,22620,6
Greater Bendigo,Jul - Sep 2024,29.87,13.08,22620,6
Greater Bendigo,Oct - Dec 2024,28.86,12.82,22620,6
Greater Bendigo,Jan - Mar 2025,26.38,12.9,22620,6
Greater Bendigo,Apr - Jun 2025,27.2,12.73,22620,6
Greater Dandenong,Apr - Jun 2024,23.58,12.13,22670,2
Greater Dandenong,Jul - Sep 2024,22.83,12.05,22670,2
Greater Dandenong,Oct - Dec 2024,24.74,12.48,22670,2
Greater Dandenong,Jan - Mar 2025,23.7,12.33,22670,2
Greater Dandenong,Apr - Jun 2025,23.05,12.23,22670,2
Greater Geelong,Apr - Jun 2024,22.52,11.5,22750,8
Greater Geelong,Jul - Sep 2024,23.78,11.82,22750,8
Greater Geelong,Oct - Dec 2024,23.39,11.47,22750,8
Greater Geelong,Jan - Mar 2025,22.46,11.32,22750,8
