LGA_code,LGA_name,Score,Decile
10050,Albury,968,5
10180,Armidale Regional,980,6
10250,Ballina,1015,8
10300,Balranald,960,4
10470,Bathurst Regional,991,7
10500,Bayside (NSW),1004,7
10550,Bega Valley,986,6
10600,Bellingen,981,6
10650,Berrigan,966,5
10750,Blacktown,987,6
10800,Bland,993,7
10850,Blayney,991,6
10900,Blue Mountains,1048,9
10950,Bogan,966,5
11150,Bourke,947,3
11200,Brewarrina,818,1
11250,Broken Hill,913,2
11300,Burwood,977,5
11350,Byron,1021,8
11400,Cabonne,1023,8
11450,Camden,1045,9
11500,Campbelltown (NSW),947,3
11520,Canada Bay,1067,10
11570,Canterbury-Bankstown,917,2
11600,Carrathool,973,5
11650,Central Coast (NSW),994,7
11700,Central Darling,827,1
11720,Cessnock,939,3
11730,Clarence Valley,940,3
11750,Cobar,965,5
11800,Coffs Harbour,972,5
12000,Coolamon,983,6
12150,Coonamble,883,1
12160,Cootamundra-Gundagai Regional,953,4
12350,Cowra,932,3
12380,Cumberland,904,2
12390,Dubbo Regional,985,6
12700,Dungog,1009,8
12730,Edward River,966,5
12750,Eurobodalla,985,6
12850,Fairfield,814,1
12870,Federation,969,5
12900,Forbes,969,5
12930,Georges River,1011,8
12950,Gilgandra,930,3
13010,Glen Innes Severn,906,2
13310,Goulburn Mulwaree,972,5
13340,Greater Hume Shire,999,7
13450,Griffith,974,5
13550,Gunnedah,967,5
13660,Gwydir,957,4
13800,Hawkesbury,1026,8
13850,Hay,956,4
13910,Hilltops,954,4
14000,Hornsby,1082,10
14100,Hunters Hill,1101,10
14170,Inner West,1057,10
14220,Inverell,928,2
14300,Junee,934,3
14350,Kempsey,903,2
14400,Kiama,1070,10
14500,Ku-ring-gai,1108,10
14550,Kyogle,921,2
14600,Lachlan,950,3
14650,Lake Macquarie,1004,7
14700,Lane Cove,1105,10
14750,Leeton,949,3
14850,Lismore,966,5
14870,Lithgow,935,3
14900,Liverpool,931,3
14920,Liverpool Plains,926,2
14950,Lockhart,976,5
15050,Maitland,988,6
15240,Mid-Coast,943,3
15270,Mid-Western Regional,979,5
15300,Moree Plains,940,3
15350,Mosman,1110,10
15520,Murray River,998,7
15560,Murrumbidgee,983,6
15650,Muswellbrook,937,3
15700,Nambucca Valley,920,2
15750,Narrabri,964,4
15800,Narrandera,929,2
15850,Narromine,958,4
15900,Newcastle,1012,8
15950,North Sydney,1096,10
15990,Northern Beaches,1089,10
16100,Oberon,978,5
16150,Orange,997,7
16200,Parkes,946,3
16260,Parramatta,1029,9
16350,Penrith,991,6
16380,Port Macquarie-Hastings,985,6
16400,Port Stephens,982,6
16490,Queanbeyan-Palerang Regional,1061,10
16550,Randwick,1059,10
16610,Richmond Valley,924,2
16700,Ryde,1055,10
16900,Shellharbour,983,6
16950,Shoalhaven,980,6
17000,Singleton,998,7
17040,Snowy Monaro Regional,1020,8
17080,Snowy Valleys,952,4
17100,Strathfield,1011,8
17150,Sutherland Shire,1079,10
17200,Sydney,1031,9
17310,Tamworth Regional,961,4
17350,Temora,972,5
17400,Tenterfield,920,2
17420,The Hills Shire,1098,10
17550,Tweed,989,6
17620,Upper Hunter Shire,975,5
17640,Upper Lachlan Shire,1022,8
17650,Uralla,990,6
17750,Wagga Wagga,989,6
17850,Walcha,992,7
17900,Walgett,888,2
17950,Warren,962,4
18020,Warrumbungle Shire,927,2
18050,Waverley,1092,10
18100,Weddin,961,4
18200,Wentworth,974,5
18250,Willoughby,1075,10
18350,Wingecarribee,1045,9
18400,Wollondilly,1041,9
18450,Wollongong,1000,7
18500,Woollahra,1110,10
18710,Yass Valley,1065,10
19399,Unincorporated NSW,1046,9
20110,Alpine,1028,9
20260,Ararat,955,4
20570,Ballarat,986,6
20660,Banyule,1058,10
20740,Bass Coast,993,7
20830,Baw Baw,1003,7
20910,Bayside (Vic.),1090,10
21010,Benalla,968,5
21110,Boroondara,1090,10
21180,Brimbank,912,2
21270,Buloke,975,5
21370,Campaspe,965,4
21450,Cardinia,1021,8
21610,Casey,995,7
21670,Central Goldfields,898,2
21750,Colac Otway,973,5
21830,Corangamite,985,6
21890,Darebin,1018,8
22110,East Gippsland,963,4
22170,Frankston,1003,7
22250,Gannawarra,952,4
22310,Glen Eira,1075,10
22410,Glenelg,952,4
22490,Golden Plains,1040,9
22620,Greater Bendigo,985,6
22670,Greater Dandenong,887,2
22750,Greater Geelong,1007,8
22830,Greater Shepparton,944,3
22910,Hepburn,1006,8
22980,Hindmarsh,940,3
23110,Hobsons Bay,1021,8
23190,Horsham,990,6
23270,Hume,941,3
23350,Indigo,1029,9
23430,Kingston (Vic.),1044,9
23670,Knox,1042,9
23810,Latrobe (Vic.),931,3
23940,Loddon,948,3
24130,Macedon Ranges,1063,10
24210,Manningham,1056,10
24250,Mansfield,1028,9
24330,Maribyrnong,1010,8
24410,Maroondah,1041,9
24600,Melbourne,1017,8
24650,Melton,985,6
24780,Mildura,940,3
24850,Mitchell,1000,7
24900,Moira,958,4
24970,Monash,1042,9
25060,Moonee Valley,1041,9
25150,Moorabool,1017,8
25250,Moreland,1027,8
25340,Mornington Peninsula,1038,9
25430,Mount Alexander,1007,8
25490,Moyne,1029,9
25620,Murrindindi,1005,7
25710,Nillumbik,1093,10
25810,Northern Grampians,951,4
25900,Port Phillip,1061,10
25990,Pyrenees,959,4
26080,Queenscliffe,1082,10
26170,South Gippsland,1003,7
26260,Southern Grampians,994,7
26350,Stonnington,1084,10
26430,Strathbogie,982,6
26490,Surf Coast,1086,10
26610,Swan Hill,941,3
26670,Towong,1001,7
26700,Wangaratta,988,6
