LGA_code,LGA_name,Score,Decile
20110,Alpine,1028,9
20260,Ararat,955,4
20570,Ballarat,986,6
20660,Banyule,1058,10
20740,Bass Coast,993,7
20830,Baw Baw,1003,7
20910,Bayside (Vic.),1090,10
21010,Benalla,968,5
21110,Boroondara,1090,10
21180,Brimbank,912,2
21270,Buloke,975,5
21370,Campaspe,965,4
21450,Cardinia,1021,8
21610,Casey,995,7
21670,Central Goldfields,898,2
21750,Colac Otway,973,5
21830,Corangamite,985,6
21890,Darebin,1018,8
22110,East Gippsland,963,4
22170,Frankston,1003,7
22250,Gannawarra,952,4
22310,Glen Eira,1075,10
22410,Glenelg,952,4
22490,Golden Plains,1040,9
22620,Greater Bendigo,985,6
22670,Greater Dandenong,887,2
22750,Greater Geelong,1007,8
22830,Greater Shepparton,944,3
22910,Hepburn,1006,8
22980,Hindmarsh,940,3
23110,Hobsons Bay,1021,8
23190,Horsham,990,6
23270,Hume,941,3
23350,Indigo,1029,9
23430,Kingston (Vic.),1044,9
23670,Knox,1042,9
23810,Latrobe (Vic.),931,3
23940,Loddon,948,3
24130,Macedon Ranges,1063,10
24210,Manningham,1056,10
24250,Mansfield,1028,9
24330,Maribyrnong,1010,8
24410,Maroondah,1041,9
24600,Melbourne,1017,8
24650,Melton,985,6
24780,Mildura,940,3
24850,Mitchell,1000,7
24900,Moira,958,4
24970,Monash,1042,9
25060,Moonee Valley,1041,9
25150,Moorabool,1017,8
25250,Moreland,1027,8
25340,Mornington Peninsula,1038,9
25430,Mount Alexander,1007,8
25490,Moyne,1029,9
25620,Murrindindi,1005,7
25710,Nillumbik,1093,10
25810,Northern Grampians,951,4
25900,Port Phillip,1061,10
25990,Pyrenees,959,4
26080,Queenscliffe,1082,10
26170,South Gippsland,1003,7
26260,Southern Grampians,994,7
26350,Stonnington,1084,10
26430,Strathbogie,982,6
26490,Surf Coast,1086,10
26610,Swan Hill,941,3
26670,Towong,1001,7
26700,Wangaratta,988,6
26730,Warrnambool,995,7
26810,Wellington,973,5
26890,West Wimmera,991,6
26980,Whitehorse,1043,9
27070,Whittlesea,990,6
27170,Wodonga,973,5
27260,Wyndham,1006,8
27350,Yarra,1046,9
27450,Yarra Ranges,1041,9
27630,Yarriambiack,946,3
29399,Unincorporated Vic,1012,8
