SA2_code_number,SA2_name,Area,Population_density_2024,SA2_code
101021007,Braidwood,3418.4,1.30,101021007
101021008,Karabar,7,1209.60,101021008
101021009,Queanbeyan,4.8,2388.30,101021009
101021010,Queanbeyan - East,13,394.70,101021010
101021012,Queanbeyan West - Jerrabomberra,13.7,941.70,101021012
101021610,Googong,6.9,1228.50,101021610
101021611,Queanbeyan Surrounds,3047.7,5.80,101021611
101031013,Bombala,3990.1,0.60,101031013
101031014,Cooma,103.6,64.80,101031014
101031015,Cooma Surrounds,6251,0.60,101031015
101031016,Jindabyne - Berridale,3939.8,2.20,101031016
101041017,Batemans Bay,63.7,135.80,101041017
101041018,Batemans Bay - South,30.6,296.40,101041018
101041019,Bega - Tathra,183.9,49.00,101041019
101041020,Bega-Eden Hinterland,4709.8,2.10,101041020
101041021,Broulee - Tomakin,24.2,162.30,101041021
101041022,Deua - Wadbilliga,2782,0.00,101041022
101041023,Eden,94.8,36.50,101041023
101041024,Eurobodalla Hinterland,1460,2.50,101041024
101041025,Merimbula - Tura Beach,97.3,119.30,101041025
101041026,Moruya - Tuross Head,165.4,52.50,101041026
101041027,Narooma - Bermagui,252.7,39.60,101041027
101051539,Goulburn,64.8,390.60,101051539
101051540,Goulburn Surrounds,9035.1,1.60,101051540
101061541,Yass,99.7,68.30,101061541
101061542,Yass Surrounds,5680.6,2.30,101061542
101061543,Young,505.8,21.70,101061543
101061544,Young Surrounds,5849.8,1.30,101061544
102011028,Avoca Beach - Copacabana,6.4,1175.90,102011028
102011029,Box Head - MacMasters Beach,32.1,349.50,102011029
102011030,Calga - Kulnura,768,6.10,102011030
102011031,Erina - Green Point,33.8,434.40,102011031
102011032,Gosford - Springfield,16.9,1336.20,102011032
102011033,Kariong,8.3,781.30,102011033
102011034,Kincumber - Picketts Valley,11.7,647.80,102011034
102011035,Narara,7.7,953.50,102011035
102011036,Niagara Park - Lisarow,16.7,493.90,102011036
102011037,Point Clare - Koolewong,6.8,983.40,102011037
102011038,Saratoga - Davistown,4.8,1541.00,102011038
102011039,Terrigal - North Avoca,10.5,1473.10,102011039
102011040,Umina - Booker Bay - Patonga,25.2,991.20,102011040
102011041,Wamberal - Forresters Beach,13.7,791.60,102011041
102011042,Woy Woy - Blackwall,17.4,836.60,102011042
102011043,Wyoming,8.4,1352.90,102011043
102021044,Bateau Bay - Killarney Vale,10.9,2117.00,102021044
102021045,Blue Haven - San Remo,21,553.90,102021045
102021046,Budgewoi - Buff Point - Halekulani,9.3,1068.30,102021046
102021047,Chittaway Bay - Tumbi Umbi,24.5,667.50,102021047
102021048,Gorokan - Kanwal - Charmhaven,11.2,2021.50,102021048
102021049,Jilliby - Yarramalong,346.8,10.30,102021049
102021050,Lake Munmorah - Mannering Park,35.5,311.50,102021050
102021051,Ourimbah - Fountaindale,114.1,43.20,102021051
102021052,Summerland Point - Gwandalan,9.2,753.30,102021052
102021053,The Entrance,13.9,1165.80,102021053
102021054,Toukley - Norah Head,10.5,935.90,102021054
102021055,Tuggerah - Kangy Angy,27.8,190.20,102021055
102021056,Warnervale - Wadalba,42.9,521.20,102021056
102021057,Wyong,15,622.60,102021057
103011059,Bathurst - East,94,141.80,103011059
103011060,Bathurst Surrounds,3798.3,1.90,103011060
103011061,Oberon,2972.4,1.60,103011061
103011612,Bathurst - South,37.5,279.90,103011612
103011613,Bathurst - West,82,180.60,103011613
103021062,Condobolin,15858.9,0.40,103021062
103021063,Cowra,242.2,37.70,103021063
103021064,Cowra Surrounds,3037.2,1.90,103021064
103021065,Forbes,4598,2.20,103021065
103021066,Grenfell,3294.1,1.10,103021066
103021067,Parkes (NSW),234.8,46.90,103021067
103021068,Parkes Surrounds,5418.2,0.60,103021068
103021069,West Wyalong,8317.5,0.70,103021069
103031070,Lithgow,120,102.00,103031070
103031071,Lithgow Surrounds,2514.1,3.40,103031071
103031072,Mudgee,65.9,194.20,103031072
103031073,Mudgee Surrounds - East,2852.1,1.20,103031073
103031074,Mudgee Surrounds - West,8043.9,1.40,103031074
103031075,Wollangambe - Wollemi,2448.7,0.00,103031075
103041076,Blayney,1642.7,4.70,103041076
103041077,Orange,45.2,422.60,103041077
103041078,Orange - North,99.5,239.70,103041078
103041079,Orange Surrounds,4480.1,2.70,103041079
104011080,Grafton,106.3,185.60,104011080
104011081,Grafton Surrounds,8445.9,2.10,104011081
104011082,Maclean - Yamba - Iluka,711,25.70,104011082
104021083,Bellingen,1001,6.10,104021083
104021084,Coffs Harbour - North,25.7,734.20,104021084
104021085,Coffs Harbour - South,33.7,338.00,104021085
104021086,Coramba - Nana Glen - Bucca,363.9,11.10,104021086
104021087,Dorrigo,1987.7,1.60,104021087
104021088,Korora - Emerald Beach,57.7,187.80,104021088
104021089,Sawtell - Boambee,118.2,172.20,104021089
104021090,Urunga,108.4,45.60,104021090
104021091,Woolgoolga - Arrawarra,270.2,55.70,104021091
105011092,Bourke - Brewarrina,56841.5,0.10,105011092
105011093,Cobar,45551.4,0.10,105011093
105011094,Coonamble,12142.4,0.30,105011094
105011095,Nyngan - Warren,21216,0.20,105011095
105011096,Walgett - Lightning Ridge,27011.1,0.20,105011096
105021097,Broken Hill,170.1,103.10,105021097
105021098,Far West,146684.7,0.00,105021098
105031099,Coonabarabran,10474.1,0.80,105031099
105031100,Dubbo - East,87.7,123.10,105031100
105031101,Dubbo - South,25.4,802.60,105031101
105031102,Dubbo - West,69.4,157.00,105031102
105031103,Dubbo Surrounds,4128.6,1.50,105031103
105031104,Gilgandra,5393.4,0.80,105031104
105031105,Narromine,5956.3,1.10,105031105
105031106,Wellington,3603.4,2.50,105031106
106011107,Branxton - Greta - Pokolbin,392.3,39.10,106011107
106011108,Cessnock,69,351.80,106011108
