SA2 code,SA2 name,Area (km2),Population density 2024 (persons/km2)
201011001,Alfredton,52.7,381.9
201011002,Ballarat,12.4,951.1
201011005,Buninyong,51.6,142.6
201011006,Delacombe,34.2,417.8
201011007,Smythes Creek,104.7,40.8
201011008,Wendouree - Miners Rest,67.6,230.4
201011481,Ballarat East - Warrenheip,19.2,505.7
201011482,Ballarat North - Invermay,73.1,207.4
201011483,Canadian - Mount Clear,22.3,559.3
201011484,Sebastopol - Redan,10.6,1213.4
201021009,Bacchus Marsh Surrounds,1038.8,6.5
201021010,Creswick - Clunes,856.8,9.3
201021011,Daylesford,920.8,11.1
201021012,Gordon (Vic.),850.3,7.7
201031013,Avoca,1714.2,2.1
201031014,Beaufort,1863,2.6
201031015,Golden Plains - North,922.1,5.4
201031016,Maryborough (Vic.),45.5,180.7
201031017,Maryborough Surrounds,1627.6,3.5
202011018,Bendigo,16.1,901.7
202011019,California Gully - Eaglehawk,32.9,410
202011020,East Bendigo - Kennington,17.1,817.7
202011021,Flora Hill - Spring Gully,13.2,724.5
202011022,Kangaroo Flat - Golden Square,40.9,523.6
202011023,Maiden Gully,43,135.9
202011024,Strathfieldsaye,56.4,203.5
202011025,White Hills - Ascot,67.8,231.5
202021026,Bendigo Surrounds - South,796.9,11.3
202021027,Castlemaine,83.9,137.5
202021028,Castlemaine Surrounds,1515,6.3
202021029,Heathcote,756.8,7
202021030,Kyneton,556.5,19.1
202021031,Woodend,211.9,37.9
202031032,Bendigo Surrounds - North,1440.2,3.7
202031033,Loddon,6193.3,1.2
203011034,Bannockburn,192.1,43.2
203011035,Golden Plains - South,1484.5,5.9
203011036,Winchelsea,903.3,7.7
203021037,Belmont,9.4,1615.6
203021039,Geelong,12.8,1071.7
203021040,Geelong West - Hamlyn Heights,32,691.6
203021042,Highton,40.6,631
203021043,Lara,588.6,39
203021044,Leopold,27.9,492.5
203021045,Newcomb - Moolap,43.3,350.6
203021046,Newtown (Vic.),5.8,1793.5
203021047,North Geelong - Bell Park,21.9,716.5
203021485,Charlemont,18.1,774.2
203021486,Corio - Lovely Banks,74.4,249
203021487,Grovedale - Mount Duneed,37.6,739.1
203021488,Norlane,6.5,1383.2
203031048,Clifton Springs,65.1,272.2
203031049,Lorne - Anglesea,448,14
203031051,Portarlington,71.9,147.9
203031052,Point Lonsdale - Queenscliff,61.7,95.5
203031053,Torquay,126.3,209.2
203031489,Barwon Heads - Armstrong Creek,88.2,163.5
203031490,Ocean Grove,68.8,298.2
204011054,Alexandra,2119,3.2
204011055,Euroa,2057.9,3.4
