SA3_Code,Population_2024,Sum_of_Area,Avg_Pop_Density
20101,123562,448.4,275.5619982
20102,31498,3666.7,8.590285543
20103,27400,6172.4,4.439116065
20201,106022,287.4,368.9004871
20202,54077,3921,13.79163479
20203,12655,7633.5,1.657824065
20301,24016,2579.9,9.308887941
20302,223939,918.9,243.703341
20303,101887,930,109.555914
20401,62249,13959.3,4.459321026
20402,49047,6545.5,7.49323963
20403,78341,13501.6,5.802349351
20501,62040,3933.8,15.77101022
20502,49539,21713.2,2.281515392
20503,74753,4381.6,17.06066277
20504,78686,1479.6,53.18058935
20505,46416,10044.8,4.620898375
20601,99537,20.4,4879.264706
20602,56543,14,4038.785714
20603,74369,18.3,4063.879781
20604,189379,31.2,6069.839744
20605,112672,25.9,4350.27027
20606,68620,11.9,5766.386555
20607,101733,20.6,4938.495146
20701,178008,59.9,2971.752922
20702,104807,48.7,2152.094456
20703,118702,38,3123.736842
20801,106118,37.2,2852.634409
20802,169145,40.6,4166.133005
20803,128877,69.9,1843.733906
20804,45418,13.8,3291.15942
20901,131931,62.6,2107.523962
20902,103420,39.4,2624.873096
20903,68092,751.7,90.58400958
20904,281619,997.3,282.3814299
21001,64063,42.4,1510.919811
21002,35115,992.2,35.39105019
21003,85970,30.4,2827.960526
21004,50000,260.6,191.8649271
21005,228673,294.1,777.5348521
21101,163339,118.4,1379.552365
21102,27016,66.6,405.6456456
21103,118885,61.2,1942.565359
21104,65543,26.6,2464.022556
21105,159320,1606,99.20298879
21201,130536,1282.4,101.790393
21202,144349,116.6,1237.984563
21203,261066,293,891.0102389
21204,204942,151.1,1356.333554
21205,201180,79.5,2530.566038
21301,189454,106.9,1772.254443
21302,90765,62.1,1461.594203
21303,94251,31.3,3011.214058
21304,239306,672.1,356.0571344
21305,341877,544,628.4503676
21401,144615,129.5,1116.718147
21402,171450,724.3,236.7113075
21501,59413,38139.8,1.55776905
21502,57626,22081.9,2.609648626
21503,37454,17851.4,2.098098749
21601,38317,4554.8,8.412444015
21602,30836,4045.9,7.621542796
21603,69684,2333.2,29.86627807
21701,36591,12946.3,2.826367379
21703,38110,7936.5,4.801864802
21704,53856,5496.2,9.798770059
90101,1865,136.1,13.70315944
90102,625,13.7,45.62043796
90103,304,67.2,4.523809524
90104,2200,38.7,56.84754522
80101,108483,112.3,966.0106857
80103,2009,211.8,9.485363551
80104,92178,92,1001.934783
80105,66338,44.5,1490.741573
80106,33697,44.6,755.5381166
80107,89340,159.4,560.476788
80108,24724,18.2,1358.461538
80109,40436,28.7,1408.919861
80110,16026,27.1,591.3653137
80111,624,1619.6,0.385280316
70101,29076,40.7,714.3980344
70102,58532,136,430.3823529
70103,23449,2938.4,7.980193302
70104,41432,52.6,787.6806084
70201,41962,569600.6,0.073669164
70202,6067,303211.2,0.020009155
70203,18374,112294.9,0.163622747
70204,14724,33606.5,0.438129529
70205,21453,326253.6,0.065755596
60101,20864,176.1,118.4781374
60102,61547,265.9,231.4667168
60103,58678,168.3,348.6512181
60104,37982,328.5,115.6225266
60105,56085,62.1,903.1400966
60106,19774,694.3,28.48048394
60201,89399,260.7,342.9190641
60202,25440,3979,6.393566223
60203,41410,15735.6,2.631612395
60301,12953,18426.9,0.702939724
60302,23346,2192.8,10.6466618
60303,7985,3202.6,2.493286705
60401,51412,1604.4,32.04437796
60402,50338,1894.4,26.57200169
60403,18283,19025.9,0.960953227
50101,64288,3664.4,17.54393625
50102,116367,5449.6,21.35331033
50103,25541,15688.6,1.627997399
50201,122716,1032.8,118.8187452
50301,80258,48.7,1648.008214
50302,126934,43.7,2904.668192
50401,92363,44.6,2070.919283
50402,47861,685.4,69.82929676
50403,173599,1032.4,168.1509105
50501,174383,100.5,1735.154229
50502,229809,99.3,2314.29003
50503,236788,684.2,346.0800935
50601,109218,559.5,195.2064343
50602,85217,60.2,1415.564784
50603,110842,68,1630.029412
50604,141279,127.3,1109.811469
50605,63827,283.8,224.901339
50606,38687,904.7,42.76224163
50607,47958,20.4,2350.882353
50701,132734,148.1,896.2457799
50702,44872,41.6,1078.653846
50703,54672,119.9,455.9799833
50704,116222,53.5,2172.373832
50705,154132,257.6,598.3385093
50901,65998,37888.2,1.741914369
50902,60818,110694.5,0.549422058
50903,20220,48762.9,0.414659505
51001,39934,419245,0.09525218
51002,27851,390712.1,0.071282666
51003,32895,116066.1,0.283416088
51101,16842,55660.7,0.302583331
51102,10530,135064.7,0.077962636
51103,40733,714524.7,0.057007127
51104,58690,466794.7,0.125729791
40101,29118,15.6,1866.538462
40102,85575,1388.2,61.64457571
40103,47810,27.5,1738.545455
40104,58400,25.3,2308.300395
40105,40062,15.1,2653.112583
40106,31871,11.3,2820.442478
40107,40327,14.3,2820.06993
40201,41741,306.8,136.0528031
40202,111850,357,313.3053221
40203,81940,34.9,2347.851003
40204,149090,150.2,992.6098535
40205,99613,91.2,1092.247807
40301,37301,13.1,2847.40458
40302,101525,56.2,1806.494662
40303,69086,74.3,929.8250336
40304,184219,519.4,354.6765499
40401,125592,53.4,2351.910112
40402,64699,67.7,955.6720827
40403,69344,38.4,1805.833333
40501,40361,2837.2,14.225645
40502,23244,13729,1.693058489
40503,27705,14409.5,1.922689892
40504,28460,6740.7,4.22211343
40601,59406,235294.7,0.252474875
40602,26540,642477.8,0.04130882
40701,59364,7363.6,8.061817589
40702,69336,21336.3,3.249673092
40703,74432,36782.5,2.023570992
30101,76556,89.3,857.2900336
30102,101572,480.9,211.2123103
30103,76920,82.8,928.9855072
30201,49958,36,1387.722222
30202,79106,32.2,2456.708075
30203,46663,87,536.3563218
30204,64927,31.7,2048.170347
30301,58034,26.6,2181.729323
30302,85824,27.7,3098.33935
30303,86540,79.4,1089.924433
30304,43252,24.4,1772.622951
30305,77485,85.2,909.4483568
30306,54686,22.1,2474.479638
30401,33928,17,1995.764706
30402,50031,134.6,371.7013373
30403,60753,21.3,2852.253521
30404,57852,96.8,597.6446281
30501,104824,13.5,7764.740741
30502,48286,15.7,3075.541401
30503,111024,31.1,3569.903537
30504,65676,21.7,3026.543779
30601,62644,160.2,391.0362047
30602,111695,633.3,176.3698089
30603,36814,5995.1,6.140681557
30604,12974,2421.1,5.358721242
30605,45272,12127.9,3.732880383
30701,45687,141260.8,0.323423059
30702,44607,16653.2,2.678584296
30703,43323,8432.4,5.137683222
30801,30434,60225.5,0.505334119
30803,128183,18328.2,6.993758252
30804,15053,28550.2,0.527246744
30805,68065,10484.3,6.49208817
30901,72394,33.7,2148.189911
30902,61846,34.9,1772.091691
30903,73375,40.7,1802.825553
30904,21266,828.1,25.68047337
30905,38104,189,201.6084656
30906,73356,123.1,595.9057677
30907,180138,519.9,346.4858627
30908,57708,33.6,1717.5
30909,68651,35.1,1955.868946
30910,51179,19.8,2584.79798
31001,85221,63.8,1335.752351
31002,73245,6135.9,11.93712414
31003,129524,378.1,342.5654589
31004,120789,103.6,1165.916988
31101,16114,1628,9.898034398
31102,52458,60.1,872.8452579
31103,111625,169.7,657.7784325
31104,75673,582.5,129.9107296
31105,69034,88.6,779.1647856
31106,83549,57.3,1458.097731
31201,38247,79852.7,0.478969402
