SA3_Code,Population_2024,Sum_of_Area,Avg_Pop_Density
20101,123562,448.4,275.5619982
20102,31498,3666.7,8.590285543
20103,27400,6172.4,4.439116065
20201,106022,287.4,368.9004871
20202,54077,3921,13.79163479
20203,12655,7633.5,1.657824065
20301,24016,2579.9,9.308887941
20302,223939,918.9,243.703341
20303,101887,930,109.555914
20401,62249,13959.3,4.459321026
20402,49047,6545.5,7.49323963
20403,78341,13501.6,5.802349351
20501,62040,3933.8,15.77101022
20502,49539,21713.2,2.281515392
20503,74753,4381.6,17.06066277
20504,78686,1479.6,53.18058935
20505,46416,10044.8,4.620898375
20601,99537,20.4,4879.264706
20602,56543,14,4038.785714
20603,74369,18.3,4063.879781
20604,189379,31.2,6069.839744
20605,112672,25.9,4350.27027
20606,68620,11.9,5766.386555
20607,101733,20.6,4938.495146
20701,178008,59.9,2971.752922
20702,104807,48.7,2152.094456
20703,118702,38,3123.736842
20801,106118,37.2,2852.634409
20802,169145,40.6,4166.133005
20803,128877,69.9,1843.733906
20804,45418,13.8,3291.15942
20901,131931,62.6,2107.523962
20902,103420,39.4,2624.873096
20903,68092,751.7,90.58400958
20904,281619,997.3,282.3814299
21001,64063,42.4,1510.919811
21002,35115,992.2,35.39105019
21003,85970,30.4,2827.960526
21004,50000,260.6,191.8649271
21005,228673,294.1,777.5348521
21101,163339,118.4,1379.552365
21102,27016,66.6,405.6456456
21103,118885,61.2,1942.565359
21104,65543,26.6,2464.022556
21105,159320,1606,99.20298879
21201,130536,1282.4,101.790393
21202,144349,116.6,1237.984563
21203,261066,293,891.0102389
21204,204942,151.1,1356.333554
21205,201180,79.5,2530.566038
21301,189454,106.9,1772.254443
21302,90765,62.1,1461.594203
21303,94251,31.3,3011.214058
21304,239306,672.1,356.0571344
21305,341877,544,628.4503676
21401,144615,129.5,1116.718147
21402,171450,724.3,236.7113075
21501,59413,38139.8,1.55776905
21502,57626,22081.9,2.609648626
21503,37454,17851.4,2.098098749
21601,38317,4554.8,8.412444015
21602,30836,4045.9,7.621542796
21603,69684,2333.2,29.86627807
21701,36591,12946.3,2.826367379
21703,38110,7936.5,4.801864802
21704,53856,5496.2,9.798770059
